excerpt_id,article_id,title,file_path,excerpt_type,tags,para_start,para_end,text
A010-ending,A010,校霸发校园墙怒骂——,data/articles/0010-抓走了校霸的戒指怎么办.txt,结尾余韵,弹幕/评论|校园|甜虐关系|结尾余韵|轻喜反差|情感拉扯|人设亮相,464,466,"裴澄用手指勾了勾玩偶脖子上的恋爱符，语气似笑非笑。
「年年，你把我送的萨摩耶勒死了？」
（完）"
A011-opening,A011,春水泄愤,data/articles/0011-男二不想上位.txt,开头钩子,弹幕/评论|开头钩子|信息外挂|人设亮相,1,5,"校霸表白校花被拒后，为了泄愤，在教室里玩起了撒钱游戏。
很多人都去捡了，饿得两眼昏花的我也加入了其中。
只是刚捡起一张红色钞票，眼前就飘过弹幕。
【哪里来的炮灰？她不知道来捡钱的都是男二的朋友吗？】
【哈哈哈，男二做这些只是为了演戏给女主看，没想到有人当真了。】"
A011-intro,A011,春水泄愤,data/articles/0011-男二不想上位.txt,主角亮相,弹幕/评论|主角亮相|人设亮相,6,6,我捏着那张钞票，难堪地抬起头，果然所有人都正看着我。
A011-dialogue,A011,春水泄愤,data/articles/0011-男二不想上位.txt,高张力对白,弹幕/评论|高张力对白|人设亮相,29,29,于是我不确定地问：「这些钱，真的都给我吗？」
A011-ending,A011,春水泄愤,data/articles/0011-男二不想上位.txt,结尾余韵,弹幕/评论|结尾余韵|轻喜反差|人设亮相,663,665,"幸福在这一刻具象化了。
我拉起许燃，笑着说：
「结，我们现在就去民政局。」"
A012-opening,A012,商黎越越,data/articles/0012-商黎.txt,开头钩子,都市婚恋|开头钩子|轻喜反差|人设亮相,1,5,"在厨房做晚餐时，我听到丈夫在夸赞女儿的钢琴老师蝴蝶结系得很漂亮。
「一看就知道徐老师是个心灵手巧的女人，不像你妈妈，笨手笨脚，连给我们贝贝扎头发都扎不好。」
女儿脆声应和：「就是，妈妈手工也做不好，还害我被同学笑！」
记不清这是丈夫第多少次在孩子面前贬低我。
若是换做以前，我肯定要强调，让他管好自己的嘴。"
A012-intro,A012,商黎越越,data/articles/0012-商黎.txt,主角亮相,都市婚恋|主角亮相|人设亮相,10,10,我将珍藏在抽屉里的结婚证拿出来，摆到桌子上，一字一句说得很清楚：「明天上午你请半天假，我们去民政局办手续。」
A012-dialogue,A012,商黎越越,data/articles/0012-商黎.txt,高张力对白,都市婚恋|高张力对白|关系破裂|人设亮相,13,13,她丢开手里的玩偶，冲上来一把抱住了我的双腿：「妈妈，你为什么要和爸爸离婚？是不是爸爸惹你生气了？还是贝贝哪里没做好，让妈妈伤心了？」
A012-ending,A012,商黎越越,data/articles/0012-商黎.txt,结尾余韵,都市婚恋|结尾余韵|人设亮相,414,416,"外⾯⻛景正好。
而我心情正好。
全文完。"
A013-opening,A013,我想要撸高冷校草，,data/articles/0013-我想撸高冷校草的猫.txt,开头钩子,其他|开头钩子|人设亮相,1,5,"的猫。
半夜，我实在忍不住了，给他发消息：
【同学，能让我撸一下吗？就一下！】
校草:【同学，你有点冒昧。】
我不死心:"
A013-intro,A013,我想要撸高冷校草，,data/articles/0013-我想撸高冷校草的猫.txt,主角亮相,其他|主角亮相|人设亮相,5,5,我不死心:
A013-dialogue,A013,我想要撸高冷校草，,data/articles/0013-我想撸高冷校草的猫.txt,高张力对白,其他|高张力对白|人设亮相,94,94,眼睁睁看着我一把屎一把尿把孩子拉扯大，教会用猫砂、能吃能睡了，他再来直接抢走？
A013-ending,A013,我想要撸高冷校草，,data/articles/0013-我想撸高冷校草的猫.txt,结尾余韵,其他|结尾余韵|轻喜反差|人设亮相,851,853,"一丝湿意掠过，激起我一阵轻颤。
陆衍含混轻笑：
「也不想当人了。」"
A014-opening,A014,天才小师妹考试失利。,data/articles/0014-你惹她干什么，她可是倒数第一.txt,开头钩子,其他|开头钩子|人设亮相,1,5,"她哭着拉上众人质问我。
「为什么要在考试中陷害我？你用这种卑鄙的方式赢有意思吗？」
大师兄冷脸：「你简直不知廉耻。」
三师弟义愤填膺：「我真没想到你居然是这样的人。」
半晌，我指着布告栏上的名次，语气茫然。"
A014-intro,A014,天才小师妹考试失利。,data/articles/0014-你惹她干什么，她可是倒数第一.txt,主角亮相,其他|主角亮相|人设亮相,15,15,我表情严肃，伸出了一只手。
A014-dialogue,A014,天才小师妹考试失利。,data/articles/0014-你惹她干什么，她可是倒数第一.txt,高张力对白,其他|高张力对白,9,9,「你怎么会是倒数第一？！」
A014-ending,A014,天才小师妹考试失利。,data/articles/0014-你惹她干什么，她可是倒数第一.txt,结尾余韵,其他|结尾余韵,589,591,"「？」
原来是先用后付吗。
【全文完】"
A015-opening,A015,平安夜许愿，我不小心把圣诞 Santa 写成了撒旦 Satan。,data/articles/0015-是撒旦，不是圣诞.txt,开头钩子,其他|开头钩子|人设亮相,1,4,"第二天，一个有着赤色瞳孔的大帅哥敲开了我的房门。
他懒散地倚着门框，修长的双指夹着我的愿望清单。
「你许的什么破愿望？」
「什么叫『信女愿一生大鱼大肉，腰缠万贯，只求哪哪儿都大的男妈妈一枚，另外给我拿一百万。谢谢。』」"
A015-intro,A015,平安夜许愿，我不小心把圣诞 Santa 写成了撒旦 Satan。,data/articles/0015-是撒旦，不是圣诞.txt,主角亮相,其他|主角亮相|人设亮相,6,6,我穿着小熊睡衣，睡眼惺忪地打开门。
A015-dialogue,A015,平安夜许愿，我不小心把圣诞 Santa 写成了撒旦 Satan。,data/articles/0015-是撒旦，不是圣诞.txt,高张力对白,其他|高张力对白|人设亮相,107,107,我捂住耳朵，闭眼尖叫：「杀人是犯法的！」
A015-ending,A015,平安夜许愿，我不小心把圣诞 Santa 写成了撒旦 Satan。,data/articles/0015-是撒旦，不是圣诞.txt,结尾余韵,其他|结尾余韵|人设亮相,688,690,"编号 937 撒旦，因殴打同事并拔其羽毛, 造成不良影响，现予以停薪一月处分。
受害者采访：
⽻毛稀疏的某同事对着镜头哭诉：「你老婆不认识你，打我干什么！」"
A016-opening,A016,京圈太子妈放出消息，哪个女人能把她的 gay 儿子睡成直的，奖励一千万。,data/articles/0016-吻颜.txt,开头钩子,系统/攻略|古言/宫廷|危机压身|甜虐关系|开头钩子|信息外挂|轻喜反差|情感拉扯|人设亮相,1,5,"我见钱眼开，天天变着花样勾引太子爷。
起初他不为所动，后来他抓着我夜夜奋战，连微信里的男性 gay 友都删了。
任务完成，我拿钱死遁，却被太子爷带人堵在机场。
他用领带一圈圈绑住我的手腕，冷笑。
「老子嘬你的时候，怎么不说老子喜欢男人？"
A016-intro,A016,京圈太子妈放出消息，哪个女人能把她的 gay 儿子睡成直的，奖励一千万。,data/articles/0016-吻颜.txt,主角亮相,系统/攻略|古言/宫廷|危机压身|甜虐关系|主角亮相|人设亮相,1,1,我见钱眼开，天天变着花样勾引太子爷。
A016-dialogue,A016,京圈太子妈放出消息，哪个女人能把她的 gay 儿子睡成直的，奖励一千万。,data/articles/0016-吻颜.txt,高张力对白,系统/攻略|古言/宫廷|危机压身|甜虐关系|高张力对白|人设亮相,22,22,「阿姨，您不可以这样侮辱我！我可不是那种随便跟男人睡的人！我绝对不会——」
A016-ending,A016,京圈太子妈放出消息，哪个女人能把她的 gay 儿子睡成直的，奖励一千万。,data/articles/0016-吻颜.txt,结尾余韵,系统/攻略|古言/宫廷|危机压身|甜虐关系|结尾余韵|情感拉扯,765,767,"这样这一辈子, 童颜都别想再离开他。
他会给她一辈子钱，也会爱她一辈子。
他会等到她敞开心扉，彻底爱上他的那一天。"
A017-opening,A017,我来到了传闻中的灵魂商店。,data/articles/0017-商店火字.txt,开头钩子,都市婚恋|身份反差|甜虐关系|开头钩子|情感拉扯|人设亮相,1,5,"典当了爱的能力，换取了重生一次的机会。
再一次看到被爸妈领进门的养妹，我终于没有了上一世的歇斯底里。
这一世，父母的漠视，兄长的厌恶，未婚夫的背叛。
我全都不在乎了。
可是他们为什么……又抱着我哭的这么伤心？"
A017-intro,A017,我来到了传闻中的灵魂商店。,data/articles/0017-商店火字.txt,主角亮相,都市婚恋|身份反差|甜虐关系|主角亮相|人设亮相,4,4,我全都不在乎了。
A017-dialogue,A017,我来到了传闻中的灵魂商店。,data/articles/0017-商店火字.txt,高张力对白,都市婚恋|身份反差|甜虐关系|高张力对白,59,59,「你知不知道自己现在是什么样子？简直是个疯子！」
A017-ending,A017,我来到了传闻中的灵魂商店。,data/articles/0017-商店火字.txt,结尾余韵,都市婚恋|身份反差|甜虐关系|结尾余韵|人设亮相,971,973,"臭、臭流氓！
还我纯情少年郎！！
（完）"
A018-opening,A018,认回岑家后。,data/articles/0018-一树浮生.txt,开头钩子,真假千金|都市婚恋|危机压身|甜虐关系|开头钩子|危机感|情感拉扯|人设亮相,1,5,"岑宝珠将属于真千金的一切还给了我。
却还不了多年相伴的亲情羁绊。
父母偏爱她：「宝珠不过脾气有些骄纵。」
亲哥偏袒她：「你让一下她又怎样？」
连我喜欢的人，也是为了她才和我联姻。"
A018-intro,A018,认回岑家后。,data/articles/0018-一树浮生.txt,主角亮相,真假千金|都市婚恋|危机压身|甜虐关系|主角亮相|人设亮相,10,10,我被带回岑家时十五岁。
A018-dialogue,A018,认回岑家后。,data/articles/0018-一树浮生.txt,高张力对白,真假千金|都市婚恋|危机压身|甜虐关系|高张力对白|轻喜反差|情感拉扯|人设亮相,96,96,「是邱行哥送的对吧？」岑宝珠俯身靠近我，用手指勾出我锁骨下的项链，「啊，是小猫爪，好可爱！」
A018-ending,A018,认回岑家后。,data/articles/0018-一树浮生.txt,结尾余韵,真假千金|都市婚恋|危机压身|甜虐关系|结尾余韵|情感拉扯|人设亮相,420,422,"「它叫做——」
我在无数声「我爱你」中说：
「《被爱的李树的⼀生》」"
A019-opening,A019,得知我养了三个备胎后。,data/articles/0019-把不要的备胎卖给室友后.txt,开头钩子,其他|开头钩子|轻喜反差|人设亮相,1,5,"室友姜思冰开玩笑似地说：
「挺心疼你未来老公的。
「为了彩礼掏空积蓄，换来一个好几手的妻子。」
我犹豫了一下，说：
「那，我把备胎转你一个？」"
A019-intro,A019,得知我养了三个备胎后。,data/articles/0019-把不要的备胎卖给室友后.txt,主角亮相,其他|主角亮相|人设亮相,4,4,我犹豫了一下，说：
A019-dialogue,A019,得知我养了三个备胎后。,data/articles/0019-把不要的备胎卖给室友后.txt,高张力对白,其他|高张力对白|人设亮相,115,115,「我怎么舍得不要你呢？」
A019-ending,A019,得知我养了三个备胎后。,data/articles/0019-把不要的备胎卖给室友后.txt,结尾余韵,其他|结尾余韵|人设亮相,922,924,"再多个陆舟⽩，四个⼈只能玩麻将了。
三个男人一台戏的画面已经在我脑海中浮现了。
今晚注定难眠……"
A020-opening,A020,古代的嫡女和庶女会嫁给同一个人吗？,data/articles/0020-春日无雨.txt,开头钩子,甜虐关系|开头钩子|情感拉扯|人设亮相,1,5,"父亲有很多私生女。
有才华横溢的，有能歌善舞的，也有容貌倾城的。
他网罗天下美人，生了一个又一个小美人。
这里面，他最喜欢喜黛。
于是，我也最讨厌喜黛。"
A020-intro,A020,古代的嫡女和庶女会嫁给同一个人吗？,data/articles/0020-春日无雨.txt,主角亮相,甜虐关系|主角亮相|人设亮相,13,13,我却有自知之明。
A020-dialogue,A020,古代的嫡女和庶女会嫁给同一个人吗？,data/articles/0020-春日无雨.txt,高张力对白,甜虐关系|高张力对白|人设亮相,32,32,我将嫁衣搁置一旁，问：「她人在哪？」
A020-ending,A020,古代的嫡女和庶女会嫁给同一个人吗？,data/articles/0020-春日无雨.txt,结尾余韵,甜虐关系|结尾余韵|人设亮相,721,723,"人总要往前看。
日后，等到外祖与长公主百年。
我希望，⾃己真的能长成自己的靠山了。"
A021-opening,A021,我对室友的老婆一见钟情了。,data/articles/0021-对室友的老婆一见钟情后.txt,开头钩子,校园|开头钩子|人设亮相,1,5,"室友每天晚上都会打电话。
老婆长、老婆短的腻歪。
我从没有羡慕过。
直到宿舍聚餐，我们见到他老婆。
竟然是一个长相完美，气质斯文的男生。"
A021-intro,A021,我对室友的老婆一见钟情了。,data/articles/0021-对室友的老婆一见钟情后.txt,主角亮相,校园|主角亮相|人设亮相,3,3,我从没有羡慕过。
A021-dialogue,A021,我对室友的老婆一见钟情了。,data/articles/0021-对室友的老婆一见钟情后.txt,高张力对白,校园|高张力对白|情感拉扯,28,28,「有女朋友就是好啊，天天秀恩爱。」
A021-ending,A021,我对室友的老婆一见钟情了。,data/articles/0021-对室友的老婆一见钟情后.txt,结尾余韵,校园|结尾余韵|情感拉扯|人设亮相,770,772,"我满眼爱意地看着他。
「不会，我很爱你。」
「江铎，我们天生一对。」"
A022-opening,A022,和江野离婚后，他转头牵起了白月光的手。,data/articles/0022-四野星芒.txt,开头钩子,都市婚恋|开头钩子|人设亮相,1,2,"再次见面，我在酒吧驻唱，他怀里换了美女。
我已然回到了原本的轨迹，而他，却好像再也回不去了。"
A022-intro,A022,和江野离婚后，他转头牵起了白月光的手。,data/articles/0022-四野星芒.txt,主角亮相,都市婚恋|主角亮相|人设亮相,2,2,我已然回到了原本的轨迹，而他，却好像再也回不去了。
A022-dialogue,A022,和江野离婚后，他转头牵起了白月光的手。,data/articles/0022-四野星芒.txt,高张力对白,都市婚恋|高张力对白|人设亮相,45,45,他说：「你歌唱得不赖，人也看着顺眼，要不要跟我结婚应付家里？」
A022-ending,A022,和江野离婚后，他转头牵起了白月光的手。,data/articles/0022-四野星芒.txt,结尾余韵,都市婚恋|结尾余韵,414,416,"江氏集团公子醉酒驾车，跟车子一起冲进了江里。
没有人知道，那天是他跟孟星尘相遇的日子。
他只是去见他的姑娘了。"
A023-opening,A023,十岁，妹妹生日，想要一个洋娃娃。,data/articles/0023-梧桐.txt,开头钩子,甜虐关系|开头钩子|人设亮相,1,5,"爸爸说：「你去打姐姐一巴掌，我就给你买。」
于是我狠狠挨了一巴掌。
十七岁，爸爸送妹妹出国留学，但不准我读书。
我求了好久，他甩给我 300 块：「陈榆，老子不欠你。」
二十七岁，妹妹回国，看上我的丈夫，有意无意勾引。"
A023-intro,A023,十岁，妹妹生日，想要一个洋娃娃。,data/articles/0023-梧桐.txt,主角亮相,甜虐关系|主角亮相|人设亮相,4,4,我求了好久，他甩给我 300 块：「陈榆，老子不欠你。」
A023-dialogue,A023,十岁，妹妹生日，想要一个洋娃娃。,data/articles/0023-梧桐.txt,高张力对白,甜虐关系|高张力对白|情感拉扯|人设亮相,30,30,宋与诚看着兔子形状的曲奇：「妈妈，你以前不都是只做我喜欢的小熊饼干吗？」
A023-ending,A023,十岁，妹妹生日，想要一个洋娃娃。,data/articles/0023-梧桐.txt,结尾余韵,甜虐关系|结尾余韵|人设亮相,622,624,"他也本该有更好的未来的。
不过，都跟我没关系了。
我的人生注定会走向更广阔的天地。"
A024-opening,A024,小姐定下亲事后，要放我出府。,data/articles/0024-好命.txt,开头钩子,甜虐关系|开头钩子|情感拉扯|人设亮相,1,5,"我乐滋滋地数着银子，思索以后开个糕点铺子。
可，老天总爱折磨好人。
未来姑爷死了，在战场尸骨无存。
夫人抱着小姐哭晕了几次，夜里却让人送来白绫。
小姐看着白绫说她不想死。"
A024-intro,A024,小姐定下亲事后，要放我出府。,data/articles/0024-好命.txt,主角亮相,甜虐关系|主角亮相|人设亮相,1,1,我乐滋滋地数着银子，思索以后开个糕点铺子。
A024-dialogue,A024,小姐定下亲事后，要放我出府。,data/articles/0024-好命.txt,高张力对白,甜虐关系|高张力对白,94,94,「卫家公子三日前战死沙场，尸骨无存，你猜大姐还能不能放你出府？」
A024-ending,A024,小姐定下亲事后，要放我出府。,data/articles/0024-好命.txt,结尾余韵,甜虐关系|结尾余韵|人设亮相,1304,1306,"都在骗我。
一点都不甜。
娘，我想了一辈子的糖葫芦，可真苦啊。"
A025-opening,A025,妹妹外出救人时留的是我的名字，所以谢安来求娶时说的也是我的名字。,data/articles/0025-不做笼中雀.txt,开头钩子,都市婚恋|开头钩子|人设亮相,1,5,"成婚掀盖头时，我并未看出谢安眸底闪过的那抹错愕。
婚事虽不如他意，他却也与我相敬如宾了一辈子。
后来妹妹丧夫回母家，谢安曾多次相助。
我那时才知，他一直想娶的是她。
「不过是旧时念想，如今各自嫁娶，我只当她是妹妹。」"
A025-intro,A025,妹妹外出救人时留的是我的名字，所以谢安来求娶时说的也是我的名字。,data/articles/0025-不做笼中雀.txt,主角亮相,都市婚恋|主角亮相|人设亮相,1,1,成婚掀盖头时，我并未看出谢安眸底闪过的那抹错愕。
